"F_AREA";"scientificName";"LON";"LAT";"YEAR";"occurrenceStatus";"bathymetry"
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"31";"Thunnus alalunga";-76.6;28.4;2000;1;-4959.38427734375
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"21";"Thunnus alalunga";-69.31;39.88;2000;1;-1357.32446289062
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"21";"Thunnus alalunga";-67.45;40.3;2004;1;-1529.55419921875
"21";"Thunnus alalunga";-71.13;39.66;2002;1;-2081.87353515625
"31";"Thunnus alalunga";-66.25;25.41;2004;1;-5253.80859375
"31";"Thunnus alalunga";-90.91;26.21;2002;1;-3158.23413085938
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"21";"Thunnus alalunga";-44.65;45.81;2002;1;-4224.00048828125
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"31";"Thunnus alalunga";-78.66;29;2003;1;-861.809997558594
"31";"Thunnus alalunga";-66.1583328247;25.233332634;2004;1;-5384.375
"47";"Thunnus alalunga";18.0886001587;-33.4255981445;2004;1;-16.25
"31";"Thunnus alalunga";-77.66;28.66;2003;1;-1032.93249511719
"47";"Thunnus alalunga";17.1173992157;-29.9335002899;2000;1;-25.2474994659424
"47";"Thunnus alalunga";18.4349994659;-33.9028015137;2000;1;-16.0599994659424
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
